company_name,labeled_location,address,latitude,longitude,computed_county,labeled_county,address_city,address_state
Mercedes-Benz USA LLC,"Cedartown, Polk County","1 Mercedes-Benz Dr, Sandy Springs, GA 30328",33.9345221674192,-84.3634150192005,Fulton,Polk,Sandy Springs,GA
Milliken & Co./Valway Plant,"Greenville, Meriwether County","920 Milliken Rd, LaGrange, GA 30241",33.050989,-85.094007,Troup,Meriwether,Lagrange,GA
Mobis Alabama LLC,"Gainesville, Hall County","300 Hyundai MOBIS Dr, West Point, GA 31833",32.9150013591105,-85.123997845357,Troup,Hall,West Point,GA
MollerTech LLC,"Toccoa, Stephens County","100 Mollertech Dr, Dalton, GA 30721",34.788493,-84.91381,Whitfield,Stephens,Dalton,GA
Murata Electronics North America Inc.,"Covington, Newton County","1000 Corporate Dr, Smyrna, GA 30080",33.8866538,-84.783561,Paulding,Newton,Smyrna,GA
NIFCO KTW America Corp.,Troup County,"100 Nifco Way, Toccoa, GA 30577",34.5179964289089,-83.2222868993427,Stephens,Troup,Toccoa,GA
NVH Korea,"Greenville, Meriwether County","120 Colvin Drive, Locust Grove, GA 30248",33.3690335423479,-84.120730447218,Henry,Meriwether,Locust Grove,GA
Neaton Rome Inc.,"Hamilton, Harris County","1 Neaton Dr, Rome, GA 30161",33.766217,-84.713912,Douglas,Harris,Rome,GA
Nidec Elesys Americas Corp.,"Metter, Candler County","3900 Lakefield Ct, Suwanee, GA 30024",34.064876,-84.156737,Forsyth,Candler,Suwanee,GA
Nile Automotive,"Dalton, Whitfield County","4490 Alicia Lane, Cumming, GA 30028",34.2861491093215,-84.0807175267039,Forsyth,Whitfield,Cumming,GA
Nisshinbo Automotive Manufacturing Inc.,"Gainesville, Hall County","14187 Nisshinbo Drive, Covington, GA 30014",33.627596641273,-83.8396850708471,Newton,Hall,Covington,GA
Nivel Parts & Manufacturing Co. LLC,"Savannah, Chatham County","2051 2nd Ave NE, Cairo, GA 39828",30.8796091793369,-84.184908370919,Grady,Chatham,Cairo,GA
Novelis Inc.,"Gainesville, Hall County","3560 Lenox Rd NE, Suite 2000, Atlanta, GA 30326",33.8540394890331,-84.3628188393643,Fulton,Hall,Atlanta,GA
Novelis Inc.,"Lawrenceville, Gwinnett County","3560 Lenox Rd NE, Suite 2000, Atlanta, GA 30326",33.8541642345505,-84.3628202675058,Fulton,Gwinnett,Atlanta,GA
Novelis Inc.,"Trenton, Dade County","3560 Lenox Rd NE, Suite 2000, Atlanta, GA 30326",33.8542055150128,-84.3628141775477,Fulton,Dade,Atlanta,GA
OTR Wheel Engineering Inc.,"Cordele, Crisp County","6 Riverside Industrial Park, Rome, GA 30161",34.2805120276445,-85.1648883768461,Floyd,Crisp,Rome,GA
Oneda Corp.,"Dalton, Whitfield County","2157 Atlanta Highway, Gainesville, GA 30504",34.2525104,-83.8448804,Hall,Whitfield,Gainesville,GA
PAI Industries Inc.,Troup County,"2125 Clay Drive, Mableton, GA 30126",33.9234048,-84.546699,Cobb,Troup,Mableton,GA
PHA Body Systems LLC,Carroll County,"300 Monahan Drive, Bloomingdale, GA 31302",32.1009741405683,-81.3560273906067,Chatham,Carroll,Bloomingdale,GA
PIOLAX Corp.,"Rome, Floyd County","139 Etowah Industrial Court, Canton, GA 30114",34.2456357508315,-84.4719463416027,Cherokee,Floyd,Canton,GA
PPG Industries Inc.,Troup County,"500 Enterprise Dr, Calhoun, GA 30701",34.6994514,-84.948505,Whitfield,Troup,Calhoun,GA
Paccar,"Trenton, Dade County","6853 Southlake Pkwy, Morrow, GA 30260",33.5675979753355,-84.3387340894887,Clayton,Dade,Morrow,GA
Pak-Lite Inc.,"Rome, Floyd County","550 Old Peachtree Rd NW, Suwanee, GA 30024",34.0114815633921,-84.0575044342891,Gwinnett,Floyd,Suwanee,GA
Panasonic Automotive Systems Co.,"Cartersville, Bartow County","1 Panasonic Way, Peachtree City, GA 30269",33.3540321602237,-84.554642968484,Fayette,Bartow,Peachtree City,GA
Panasonic Automotive Systems Co.,"Hinesville, Liberty County","1 Panasonic Way, Peachtree City, GA 30269",33.3586677099571,-84.5593070469745,Fayette,Liberty,Peachtree City,GA
Panduit Corp.,"Cartersville, Bartow County","1819 Atlanta Hwy, Cumming, GA 30040",34.1661720605728,-84.1654472334863,Forsyth,Bartow,Cumming,GA
Peerless-Winsmith Inc.,"Statesboro, Bulloch County","4510 Cantrell Road, Flowery Branch, GA 30542",34.1933557356756,-83.9074650474823,Hall,Bulloch,Flowery Branch,GA
Perkins Small Engines LLC,"Zebulon, Pike County","325 Green Valley Road, Griffin, GA 30224",33.2313080586117,-84.223980728557,Spalding,Pike,Griffin,GA
Peterson Spring,"Hartwell, Hart County","600 Old Hull Road, Athens, GA 30601",33.9865336091146,-83.3410341200327,Clarke,Hart,Athens,GA
Piedmont Automotive Products Inc.,"Hamilton, Harris County","1058 Rocky Branch Rd, Clarkesville, GA 30523",34.6078319,-83.5074298,Habersham,Harris,Clarkesville,GA
Pirelli Tire North America LLC,"Carnesville, Franklin County","2819 Old Dawson Rd, Albany, GA 31707",31.6135962,-84.2222845,Dougherty,Franklin,Albany,GA
Porsche Cars North America Inc.,"Cairo, Grady County","1 Porsche Dr, Atlanta, GA 30328",33.6520232116159,-84.3985918227493,Fulton,Grady,Atlanta,GA
Propex Operating Co. LLC,"Lawrenceville, Gwinnett County","490 Chatham Pkwy, Pooler, GA 31322",32.0941218,-81.1629908,Chatham,Gwinnett,Pooler,GA
QSR Inc.,"Lawrenceville, Gwinnett County","135 QSR Rd, LaGrange, GA 30240",33.555885,-84.443148,Clayton,Gwinnett,Lagrange,GA
Racemark International LLC,"Calhoun, Gordon County","152 Racemark Dr, Gray, GA 31032",32.991607,-83.567362,Jones,Gordon,Gray,GA
RealTruck,"Fayetteville, Fayette County","1656 Airport Rd N, Peachtree City, GA 30269",34.588242,-85.2883229,Chattooga,Fayette,Peachtree City,GA
Rivian Automotive,"Gainesville, Hall County","1090 Roberts Dr NW, Atlanta, GA 30318",33.720227,-84.370567,Fulton,Hall,Atlanta,GA
Robert Bosch LLC,Coweta County,"6330 W Broad St, Flowery Branch, GA 30542",34.1062368,-84.0326857,Gwinnett,Coweta,Flowery Branch,GA
SAFT America Inc.,Coweta County,"15621 Hopewell Church Rd, Cataula, GA 31804",32.8217618,-84.9563284,Harris,Coweta,Cataula,GA
SHIROKI North America Inc,"Dublin, Laurens County","100 Shiroki Way, LaGrange, GA 30241",33.558724,-84.44865,Clayton,Laurens,Lagrange,GA
SK Battery America,"Hartwell, Hart County","700 Hyundai Blvd, Ellabell, GA 31308",32.159233,-81.502963,Bryan,Hart,Ellabell,GA
SKF USA Inc.,"Carnesville, Franklin County","301 David Fletcher Dr, Ringgold, GA 30736",34.907514,-85.043812,Catoosa,Franklin,Ringgold,GA
SRG Global Inc.,"Atlanta, Fulton County","10116 Industrial Blvd NE, Covington, GA 30014",33.6130210157665,-83.8355886824132,Newton,Fulton,Covington,GA
Sejong Georgia LLC,Troup County,"100 Sejong Way, Jefferson, GA 30549",34.10601,-83.589021,Jackson,Troup,Jefferson,GA
Seohan Auto USA,"Hazlehurst, Davis County","850 Lamar St, LaGrange, GA 30240",33.0528839,-84.1616017,Lamar,Davis,Lagrange,GA
Seoyon E-HWA,"Hazlehurst, Davis County","200 Seoyon E-HWA Blvd, West Point, GA 31833",32.903183,-85.159941,Troup,Davis,West Point,GA
Seoyon E-Hwa Interior Systems,"Macon, Bibb County","200 Seoyon E-HWA Blvd, West Point, GA 31833",32.8772531,-85.183728,Troup,Bibb,West Point,GA
Sewon America Inc.,"Athens, Clarke County","210 Sewon Dr, LaGrange, GA 30241",33.0501,-85.008963,Troup,Clarke,Lagrange,GA
Sewon America Inc.,"Atlanta, Fulton County","210 Sewon Dr, LaGrange, GA 30241",33.0501,-85.008963,Troup,Fulton,Lagrange,GA
Sewon America Inc.,"Marietta, Cobb County","210 Sewon Dr, LaGrange, GA 30241",33.0501,-85.008963,Troup,Cobb,Lagrange,GA
Solvay Specialty Polymers USA LLC,"Springfield, Effingham County","600 Patterson Ave, Augusta, GA 30901",34.1033951,-82.8532769,Elbert,Effingham,Augusta,GA
Southern Switches Corp.,"Blue Ridge, Fannin County","715 Happy Hollow Rd, Dahlonega, GA 30533",34.5298911539072,-83.9984152634814,Lumpkin,Fannin,Dahlonega,GA
Stryten Energy,Troup County,"5925 Cabot Pkwy, Alpharetta, GA 30005",34.1187111,-84.2058867,Forsyth,Troup,Alpharetta,GA
Suhner Manufacturing Corp.,"Douglas, Coffee County","43 Anderson Rd SW, Rome, GA 30161",34.2085971300834,-85.1899282777942,Floyd,Coffee,Rome,GA
SungEel Recycling Park Georgia,"Macon, Bibb County","3237 Satellite Blvd, Suite 175, Duluth, GA 30096",33.962713,-84.11336,Gwinnett,Bibb,Duluth,GA
Superior Essex Inc.,"Pembroke, Bryan County","3600 Cobb International Blvd NW, Kennesaw, GA 30152",33.9990198954442,-84.6124810756932,Cobb,Bryan,Kennesaw,GA
Suzuki Manufacturing of America Corp.,"Monroe, Walton County","1000 McIntosh Trail SW, Rome, GA 30165",33.771861,-84.730029,Douglas,Walton,Rome,GA
TCI Powder Coatings,Troup County,"610 Dixon Dr, Ellaville, GA 31806",32.2336427,-84.2945469,Schley,Troup,Ellaville,GA
TDK Components USA Inc.,"Atlanta, Fulton County","4058 Rockmart Rd, Silver Creek, GA 30173",34.1773552,-85.1488486,Floyd,Fulton,Silver Creek,GA
TE Connectivity,"Fort Valley, Peach County","3295 Cobb International Blvd NW, Kennesaw, GA 30152",34.0027115,-84.6119832,Cobb,Peach,Kennesaw,GA
TI Fluid Systems,"Atlanta, Fulton County","2 Swisher Dr, Cartersville, GA 30120",34.1446878814573,-84.7948577272343,Bartow,Fulton,Cartersville,GA
Teklas USA,Coweta County,"320 S Industrial Blvd, Calhoun, GA 30701",34.4762350916405,-84.9420289236436,Gordon,Coweta,Calhoun,GA
Thermal Ceramics Inc.,"Jefferson, Jackson County","2190 N Leg Rd, Augusta, GA 30909",33.4565319,-82.0665715,Richmond,Jackson,Augusta,GA
Thomson Plastics Inc.,"Covington, Newton County","1440 H D Atha Rd, Monroe, GA 30656",33.774282,-83.7755851,Walton,Newton,Monroe,GA
Tie Down Engineering,"Greensboro, Greene County","605 Stonehill Dr SW, Atlanta, GA 30336",33.7398598923206,-84.574782339876,Fulton,Greene,Atlanta,GA
